@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "TT40TT41"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le         400.0011004
@ PC               %le                 400
@ GAMMA            %le         426.3167459
@ KBUNCH           %le                   1
@ BCURRENT         %le       0.01067372943
@ SIGE             %le              0.0004
@ SIGT             %le                   1
@ NPART            %le              2e+011
@ EX               %le    8.209880711e-009
@ EY               %le    8.209880711e-009
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le                 900
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le         3.139531819
@ Q2               %le         3.075698682
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le         7.904651688
@ DYMAX            %le         1.081193202
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         1740.550018
@ BETYMAX          %le         39136.19404
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.661899654
@ DYRMS            %le        0.3002731354
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "18/03/20"
@ TIME             %08s "13.28.45"
* NAME               KEYWORD                           K1L                K2L                K3L                  S                  L               BETX               BETY                 DX                 DY                MUX                MUY 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "BCTFI.400344"      "INSTRUMENT"                         0                  0                  0        96.25102048              0.482        931.7319979        1789.741058        -1.13350808  -1.397175133e-006      0.07232786113      0.07683947121
 "DRIFT_21"          "DRIFT"                              0                  0                  0        108.6630205        12.41200002        1364.497881        674.8373016       -1.621286635  -1.786030896e-006      0.07407987981      0.07863700264
 "QTLF.400400"       "QUADRUPOLE"               0.039764608                  0                  0        111.6530205               2.99        1316.253698        553.5002602       -1.641044625  -1.988804262e-006      0.07442797264      0.07943116044
 "DRIFT_22"          "DRIFT"                              0                  0                  0        112.0430205               0.39        1289.414094        547.2708912       -1.630821123  -2.030006418e-006      0.07447561779      0.07954393852
 "BPK.400407"        "MONITOR"                            0                  0                  0        112.4930205               0.45        1258.789151        540.1276498       -1.619024774  -2.077547367e-006      0.07453183379       0.0796756681
 "DRIFT_23"          "DRIFT"                              0                  0                  0        113.3680205       0.8749999898        1200.295222        526.3744772       -1.596087431    -2.1699881e-006      0.07464512799       0.0799368438
 "MBSG.410010"       "RBEND"                              0                  0                  0        116.3680217         3.00000122         1010.31897        480.5841233       -1.522132266   -2.51273969e-006      0.07507870686      0.08088616246
 "DRIFT_24"          "DRIFT"                              0                  0                  0        117.0080217       0.6399999795        971.9096645        471.0887904       -1.507355053  -2.591365449e-006      0.07518149853      0.08110023656
 "MBSG.410017"       "RBEND"                              0                  0                  0        120.0080229         3.00000122        801.7991075        427.8608868       -1.442774011  -2.988078401e-006      0.07572237234      0.08216374788
 "DRIFT_25"          "DRIFT"                              0                  0                  0        120.6480229       0.6399999795        767.6278223        418.9124315       -1.429996613  -3.078715674e-006      0.07585220741      0.08240434329
 "MBSG.410024"       "RBEND"                              0                  0                  0        123.6480241         3.00000122        617.3829607        378.2490268       -1.374789692  -3.534074958e-006      0.07654577622      0.08360382917
 "DRIFT_26"          "DRIFT"                              0                  0                  0        133.1110242         9.46300008        250.7362134        263.8691919       -1.215433019  -5.066610406e-006      0.08037406777      0.08837176811
 "MBSG.410049"       "RBEND"                              0                  0                  0        136.1110254         3.00000122        168.5095774        232.0116873       -1.169600221  -5.585288227e-006      0.08269699417      0.09030152647
 "DRIFT_27"          "DRIFT"                              0                  0                  0        136.7510254       0.6399999795        153.0868842        225.4895191       -1.160822453  -5.702941398e-006        0.083331185      0.09074685708
 "MBSG.410057"       "RBEND"                              0                  0                  0        139.7510266         3.00000122         90.7259437        196.2020324       -1.124363776  -6.289607827e-006      0.08738303194       0.0930169381
 "DRIFT_28"          "DRIFT"                              0                  0                  0        140.3910266       0.6399999795         79.5412706        190.2282858       -1.117585823   -6.42226447e-006      0.08858209546      0.09354418203
 "MBSG.410064"       "RBEND"                              0                  0                  0        143.3910278         3.00000122        37.04602547        163.5122047       -1.090501269  -7.081601953e-006      0.09738234743      0.09625156613
 "DRIFT_29"          "DRIFT"                              0                  0                  0        144.0310278       0.6399999795        30.09937242        158.0871626       -1.085723131  -7.230261451e-006       0.1004328904      0.09688511168
 "MBSG.410071"       "RBEND"                              0                  0                  0         147.031029         3.00000122        7.469822697        133.9437532       -1.068012698  -7.966953233e-006       0.1324917351       0.1001665391
 "DRIFT_30"          "DRIFT"                              0                  0                  0         147.671029       0.6399999795        4.761189713        129.0676728       -1.065234376  -8.132614396e-006       0.1496046647        0.100941236
 "MBSG.410079"       "RBEND"                              0                  0                  0        150.6710302         3.00000122        1.997335394         107.498079       -1.056898065  -8.953689127e-006       0.4367888876       0.1049951958
 "DRIFT_31"          "DRIFT"                              0                  0                  0        151.2210302       0.5499999898        3.266627061        103.7738194       -1.056229035  -9.112383816e-006       0.4713288596       0.1058239782
 "QTLD.410100"       "QUADRUPOLE"              -0.043705428                  0                  0        154.2110302               2.99        21.35183229        73.45240558       -1.122280644  -9.367494322e-006        0.530942407       0.1111576375
 "DRIFT_32"          "DRIFT"                              0                  0                  0        154.6010302               0.39         25.3568591        68.59095486       -1.140173137  -9.320789611e-006        0.533610124       0.1120321188
 "BPM.410107"        "VMONITOR"                           0                  0                  0        154.8510302               0.25        28.11201734        65.56443291       -1.151642684  -9.290850693e-006       0.5351004208        0.112625445
 "DRIFT_33"          "DRIFT"                              0                  0                  0        174.6280302        19.77700002        711.0415028        48.42058507       -2.058975592  -6.922442802e-006       0.5574368463       0.5555457343
 "MBG.410147"        "RBEND"                              0                  0                  0         180.928047        6.300016764        1121.450202        135.1519542       -2.373178556  -6.432730316e-006       0.5585597005       0.5679529872
 "DRIFT_34"          "DRIFT"                              0                  0                  0         181.498047       0.5700000364        1163.179788         145.195669        -2.40388422  -6.412393942e-006       0.5586391299       0.5686005893
 "MBG.410161"        "RBEND"                              0                  0                  0        187.7980638        6.300016764        1675.207131         280.476104       -2.768432567  -6.477757913e-006       0.5593574219       0.5735700315
 "DRIFT_35"          "DRIFT"                              0                  0                  0        188.2930638       0.4950000182        1719.386783        292.9906676       -2.799053752  -6.505707268e-006       0.5594038418        0.573844853
 "QTGF.410200"       "QUADRUPOLE"                0.04617954                  0                  0        190.4930638                2.2        1740.550018        386.7042312        -2.79186995  -6.965321665e-006       0.5596028331       0.5749027871
