@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "15/07/20"
@ TIME             %08s "13.35.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DRIFT_33"          "DRIFT"                     179.602547       0.5700000364                  0       -2465.237417         2401.78753          4358.1679       -2.113413399    0.0001780034115  -1.093052947e-005  -1.093052947e-005          0          0                  0                  0 ""                 
 "MBG.410161"        "RBEND"                    185.9025638        6.300016764        -0.00799133       -2470.645442        2401.788651        4354.936296       -2.105422069    0.0001780022825  -1.235301654e-005   5.699705316e-007          0          0                  0                  0 ""                 
 "DRIFT_34"          "DRIFT"                    186.3975638       0.4950000182                  0       -2471.071369        2401.788739        4354.684084       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "QTGF.410200"       "QUADRUPOLE"               188.5975638                2.2                  0        -2472.96438        2401.789131        4353.563142       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "DRIFT_35"          "DRIFT"                    188.7575638               0.16                  0       -2473.102053        2401.789159        4353.481619       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "BPM.410205"        "MONITOR"                  189.0075638               0.25                  0       -2473.317168        2401.789204        4353.354239       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "DRIFT_36"          "DRIFT"                    189.0875638               0.08                  0       -2473.386005        2401.789218        4353.313478       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "MDGH.410206"       "HKICKER"                  189.6355638              0.548                  0       -2473.857536        2401.789315        4353.034261       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "DRIFT_37"          "DRIFT"                    190.2925638       0.6570000182                  0       -2474.422858        2401.789432        4352.699507       -2.105422069    0.0001780022825  -1.235301654e-005  -1.235301654e-005          0          0                  0                  0 ""                 
 "MBG.410208"        "RBEND"                    196.5925806        6.300016764        -0.00799133       -2479.856535        2401.790554        4349.511223       -2.097430739     0.000178001769  -1.377549706e-005   6.469834553e-007          0          0                  0                  0 ""                 
 "DRIFT_38"          "DRIFT"                    197.1625805       0.5699999364                  0       -2480.349302        2401.790655        4349.224726       -2.097430739     0.000178001769  -1.377549706e-005  -1.377549706e-005          0          0                  0                  0 ""                 
 "MBG.410222"        "RBEND"                    203.4625973        6.300016764        -0.00799133       -2485.808283        2401.791777        4346.079965       -2.089439409     0.000178001879  -1.519797596e-005   7.250029418e-007          0          0                  0                  0 ""                 
 "DRIFT_39"          "DRIFT"                    204.0325973       0.5700000364                  0       -2486.303324        2401.791878        4345.797415       -2.089439409     0.000178001879  -1.519797596e-005  -1.519797596e-005          0          0                  0                  0 ""                 
 "MBG.410236"        "RBEND"                    210.3326141        6.300016764        -0.00799133       -2491.787262           2401.793        4342.696379       -2.081448079    0.0001780026045   -1.66204582e-005   8.020240406e-007          0          0                  0                  0 ""                 
 "DRIFT_40"          "DRIFT"                     210.902614       0.5699999364                  0       -2492.284545        2401.793101        4342.417794       -2.081448079    0.0001780026045   -1.66204582e-005   -1.66204582e-005          0          0                  0                  0 ""                 
 "MBG.410250"        "RBEND"                    217.2026308        6.300016764        -0.00799133       -2497.793089        2401.794222         4339.36068       -2.073456748    0.0001780039534  -1.804294873e-005   8.800418011e-007          0          0                  0                  0 ""                 
 "DRIFT_41"          "DRIFT"                    217.6976308       0.4950000182                  0       -2498.226859        2401.794311         4339.12221       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "QTGD.410300"       "QUADRUPOLE"               219.8976308                2.2                  0       -2500.154728        2401.794702        4338.062341       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "DRIFT_42"          "DRIFT"                    220.3876308               0.49                  0       -2500.584117        2401.794789        4337.826279       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "MDGV.410306"       "VKICKER"                  220.9356308              0.548                  0       -2501.064331        2401.794887        4337.562275       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "DRIFT_43"          "DRIFT"                    221.5926308       0.6570000182                  0       -2501.640063        2401.795004         4337.24576       -2.073456748    0.0001780039534  -1.804294873e-005  -1.804294873e-005          0          0                  0                  0 ""                 
 "MBG.410308"        "RBEND"                    227.8926476        6.300016764        -0.00799133       -2507.172861        2401.796125        4334.232764       -2.065465418    0.0001780019308  -1.946543656e-005   4.581512729e-007          0          0                  0                  0 ""                 
 "DRIFT_44"          "DRIFT"                    228.4626476       0.5700000364                  0       -2507.674533        2401.796227        4333.962162       -2.065465418    0.0001780019308  -1.946543656e-005  -1.946543656e-005          0          0                  0                  0 ""                 
 "MBG.410322"        "RBEND"                    234.7626644        6.300016764        -0.00799133       -2513.231232        2401.797348        4330.993476       -2.057474088    0.0001780005237   -2.08879107e-005   5.351634365e-007          0          0                  0                  0 ""                 
 "DRIFT_45"          "DRIFT"                    235.3326643       0.5699999364                  0        -2513.73505         2401.79745        4330.726892       -2.057474088    0.0001780005237   -2.08879107e-005   -2.08879107e-005          0          0                  0                  0 ""                 
 "MBG.410336"        "RBEND"                    241.6326811        6.300016764        -0.00799133       -2519.315295        2401.798571        4327.802706       -2.049482758    0.0001779997402  -2.231037608e-005   6.131893037e-007          0          0                  0                  0 ""                 
 "DRIFT_46"          "DRIFT"                    242.2026811       0.5700000364                  0       -2519.821228        2401.798673        4327.540156       -2.049482758    0.0001779997402  -2.231037608e-005  -2.231037608e-005          0          0                  0                  0 ""                 
 "MBG.410350"        "RBEND"                    248.5026979        6.300016764        -0.00799133       -2525.424662        2401.799794        4324.660657       -2.041491428    0.0001779995804  -2.373283769e-005   6.912239238e-007          0          0                  0                  0 ""                 
 "DRIFT_47"          "DRIFT"                    248.9976979       0.4950000182                  0       -2525.865833        2401.799882        4324.436171       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "QTGF.410400"       "QUADRUPOLE"               251.1976979                2.2                  0        -2527.82659        2401.800274        4323.438458       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "DRIFT_48"          "DRIFT"                    251.3576979               0.16                  0        -2527.96919        2401.800302        4323.365897       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "BPM.410405"        "HMONITOR"                 251.6076979               0.25                  0       -2528.192004        2401.800347        4323.252521       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
 "DRIFT_49"          "DRIFT"                    251.6876979               0.08                  0       -2528.263304        2401.800361         4323.21624       -2.041491428    0.0001779995804  -2.373283769e-005  -2.373283769e-005          0          0                  0                  0 ""                 
