@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %08s "no-title"
@ ORIGIN           %18s "5.05.01 Windows 64"
@ DATE             %08s "27/04/20"
@ TIME             %08s "13.33.52"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "MBSG.410024"       "RBEND"                    123.6480241         3.00000122         -0.0031247       -2417.632587         2401.77757        4387.575338       -2.137028229    0.0001780014426  -6.727045439e-006   3.291558779e-007          0          0                  0                  0 ""                 
 "DRIFT_26"          "DRIFT"                    133.1110242         9.46300008                  0       -2425.618681        2401.779254        4382.498856       -2.137028229    0.0001780014426  -6.727045439e-006  -6.727045439e-006          0          0                  0                  0 ""                 
 "MBSG.410049"       "RBEND"                    136.1110254         3.00000122         -0.0031247       -2428.152977        2401.779788        4380.893446       -2.133903529    0.0001780014266   -7.28324698e-006   2.729545609e-007          0          0                  0                  0 ""                 
 "DRIFT_27"          "DRIFT"                    136.7510254       0.6399999795                  0       -2428.694162        2401.779902        4380.551804       -2.133903529    0.0001780014266   -7.28324698e-006   -7.28324698e-006          0          0                  0                  0 ""                 
 "MBSG.410057"       "RBEND"                    139.7510266         3.00000122         -0.0031247       -2431.233462        2401.780436        4378.954321       -2.130778829    0.0001780012341  -7.839448196e-006   2.165030197e-007          0          0                  0                  0 ""                 
 "DRIFT_28"          "DRIFT"                    140.3910266       0.6399999795                  0       -2431.775711         2401.78055        4378.614371       -2.130778829    0.0001780012341  -7.839448196e-006  -7.839448196e-006          0          0                  0                  0 ""                 
 "MBSG.410064"       "RBEND"                    143.3910278         3.00000122         -0.0031247       -2434.319991        2401.781084         4377.02483       -2.127654129    0.0001780008668  -8.395648536e-006   1.605518044e-007          0          0                  0                  0 ""                 
 "DRIFT_29"          "DRIFT"                    144.0310278       0.6399999795                  0         -2434.8633        2401.781198        4376.686576       -2.127654129    0.0001780008668  -8.395648536e-006  -8.395648536e-006          0          0                  0                  0 ""                 
 "MBSG.410071"       "RBEND"                     147.031029         3.00000122         -0.0031247       -2437.412534        2401.781732        4375.104993       -2.124529429    0.0001780003239  -8.951847455e-006   1.043514637e-007          0          0                  0                  0 ""                 
 "DRIFT_30"          "DRIFT"                     147.671029       0.6399999795                  0       -2437.956897        2401.781846        4374.768439       -2.124529429    0.0001780003239  -8.951847455e-006  -8.951847455e-006          0          0                  0                  0 ""                 
 "MBSG.410079"       "RBEND"                    150.6710302         3.00000122         -0.0031247       -2440.511061         2401.78238        4373.194829       -2.121404729    0.0001780011682  -9.508046845e-006    5.48302545e-007          0          0                  0                  0 ""                 
 "DRIFT_31"          "DRIFT"                    151.2210302       0.5499999898                  0       -2440.979774        2401.782478        4372.907066       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "QTLD.410100"       "QUADRUPOLE"               154.2110302               2.99                  0       -2443.527871         2401.78301        4371.342681       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "DRIFT_32"          "DRIFT"                    154.6010302               0.39                  0       -2443.860231        2401.783079         4371.13863       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "BPM.410107"        "VMONITOR"                 154.8510302               0.25                  0       -2444.073283        2401.783124        4371.007829       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "DRIFT_33"          "DRIFT"                    174.6280302        19.77700002                  0       -2460.927368        2401.786644        4360.660388       -2.121404729    0.0001780011682  -9.508046845e-006  -9.508046845e-006          0          0                  0                  0 ""                 
 "MBG.410147"        "RBEND"                     180.928047        6.300016764        -0.00799133       -2466.309396        2401.787765         4357.38567       -2.113413399    0.0001780034115  -1.093052947e-005   9.919531555e-007          0          0                  0                  0 ""                 
